id,name,category,subcategory,platform,followers,engagement_rate,avg_likes,avg_comments,keywords,fraud_risk,fraud_risk_label,location,content_type,price_usd,verified,gender,fraud_label
154,Rinku Singh,Sports,Cricket,Instagram,2800000.0,7.2,201600,5200,"cricket,India,IPL,KKR,finisher",0.04,Low,Aligarh India,Photos,8500.0,True,Male,
155,Tilak Varma,Sports,Cricket,Instagram,1800000.0,6.8,122400,3200,"cricket,India,IPL,MI,youngster",0.04,Low,Hyderabad India,Photos,5500.0,True,Male,
156,Surya Kumar Yadav,Sports,Cricket,Instagram,8200000.0,4.8,393600,8600,"cricket,India,T20,360degree,Mumbai",0.05,Low,Mumbai India,Photos,24000.0,True,Female,
157,Hardik Pandya,Sports,Cricket,Instagram,22000000.0,3.8,836000,18300,"cricket,IPL,allrounder,Mumbai,fitness",0.08,Low,Baroda India,Photos,60000.0,True,Male,
158,Shreyas Iyer,Sports,Cricket,Instagram,5800000.0,4.5,261000,5800,"cricket,India,IPL,KKR,captain",0.05,Low,Mumbai India,Photos,17000.0,True,Male,
159,Ishan Kishan,Sports,Cricket,Instagram,4200000.0,5.1,214200,4700,"cricket,India,IPL,wicketkeeper,youngster",0.05,Low,Patna India,Photos,12500.0,True,Male,
160,Washington Sundar,Sports,Cricket,Instagram,2100000.0,5.8,121800,2800,"cricket,India,allrounder,IPL,spin",0.04,Low,Chennai India,Photos,6500.0,True,Male,
161,Nitish Rana,Sports,Cricket,Instagram,1600000.0,5.5,88000,2100,"cricket,India,IPL,KKR,batsman",0.04,Low,Delhi India,Photos,5000.0,True,Male,
162,Sanju Samson,Sports,Cricket,Instagram,5200000.0,4.8,249600,5500,"cricket,Kerala,IPL,RR,wicketkeeper",0.05,Low,Kerala India,Photos,15500.0,True,Male,
163,Axar Patel,Sports,Cricket,Instagram,3800000.0,4.5,171000,3800,"cricket,India,IPL,DC,allrounder",0.04,Low,Gujarat India,Photos,11000.0,True,Male,
164,Mohammed Siraj,Sports,Cricket,Instagram,4600000.0,5.2,239200,5200,"cricket,India,IPL,RCB,fast bowling",0.04,Low,Hyderabad India,Photos,13500.0,True,Male,
165,Deepak Chahar,Sports,Cricket,Instagram,3200000.0,4.8,153600,3400,"cricket,India,IPL,CSK,swing bowling",0.04,Low,Rajasthan India,Photos,9500.0,True,Male,
166,Prithvi Shaw,Sports,Cricket,Instagram,2800000.0,5.5,154000,3600,"cricket,India,IPL,DC,youngster",0.05,Low,Mumbai India,Photos,8500.0,True,Female,
167,Daniel Ricciardo,Sports,Outdoor adventure,Instagram,5800000.0,5.2,301600,6600,"F1,racing,sports,fun,Australia",0.05,Low,Australia,Photos,17000.0,True,Male,
168,Charles Leclerc,Sports,Outdoor adventure,Instagram,8200000.0,5.8,475600,10400,"F1,Ferrari,racing,Monaco,sports",0.04,Low,Monaco,Photos,24000.0,True,Male,
169,Lando Norris,Sports,Outdoor adventure,Instagram,7500000.0,6.2,465000,10200,"F1,McLaren,racing,UK,gaming",0.04,Low,UK,Photos,22000.0,True,Male,
170,Tech Burner,Tech,Smartphones,YouTube,8500000.0,5.2,442000,9600,"tech,review,India,smartphones,Hindi",0.06,Low,Delhi India,Reviews,20000.0,True,Male,
171,Beebom,Tech,Smartphones,YouTube,3200000.0,4.8,153600,3400,"tech,review,India,gadgets,comparison",0.05,Low,India,Reviews,9500.0,True,Male,
172,Geekyranjit,Tech,Smartphones,YouTube,2800000.0,4.5,126000,2800,"tech,review,India,smartphones,detailed",0.05,Low,Delhi India,Reviews,8000.0,True,Male,
173,Geeky Soumya,Tech,Smartphones,YouTube,980000.0,5.8,56840,1300,"tech,review,India,gadgets,unboxing",0.04,Low,Odisha India,Reviews,3000.0,True,Female,
174,Abhishek Pathak,Tech,Gaming,YouTube,2200000.0,5.5,121000,2800,"gaming,India,YouTube,entertainment,commentary",0.05,Low,UP India,Gaming,6500.0,True,Male,
175,Nischay Malhan,Tech,Gaming,YouTube,3800000.0,4.8,182400,4000,"gaming,India,YouTube,comedy,entertainment",0.06,Low,Delhi India,Gaming,11000.0,True,Female,
176,Triggered Insaan,Lifestyle,Daily vlogging,YouTube,23500000.0,5.1,1198500,24000,"comedy,reaction,India,roast,entertainment",0.07,Low,Delhi India,Comedy,56000.0,True,Male,
177,Harsh Beniwal,Lifestyle,Daily vlogging,YouTube,11000000.0,4.7,517000,11000,"comedy,vlog,India,entertainment,Delhi",0.08,Low,Delhi India,Comedy,27000.0,True,Male,
178,BB Ki Vines,Lifestyle,Daily vlogging,YouTube,25000000.0,4.5,1125000,22500,"comedy,India,vlog,entertainment,Hindi",0.08,Low,Delhi India,Comedy,60000.0,True,Male,
179,Round2Hell,Lifestyle,Daily vlogging,YouTube,30000000.0,4.2,1260000,25200,"comedy,India,vlog,entertainment,viral",0.09,Low,Rajasthan India,Comedy,65000.0,True,Male,
180,Kanan Gill,Lifestyle,Daily vlogging,YouTube,3100000.0,4.2,130200,2800,"comedy,standup,India,tech,bangalore",0.04,Low,Bangalore India,Comedy,8500.0,True,Male,
181,Nikhil Kamath,Lifestyle,Minimalism,Instagram,1950000.0,4.1,79950,1750,"nutrition,business,finance,health,India",0.06,Low,Bangalore India,Posts,6500.0,True,Male,
182,Sahil Bloom,Lifestyle,Minimalism,Twitter,960000.0,5.8,55680,1500,"minimalism,finance,growth,writing,ideas",0.03,Low,USA,Tweets,4200.0,True,Male,
183,James Clear,Lifestyle,Minimalism,Twitter,2100000.0,3.2,67200,1350,"habits,minimalism,self improvement,atomic habits",0.03,Low,USA,Tweets,8500.0,True,Male,
184,Ranveer Brar,Lifestyle,Food,YouTube,2800000.0,5.5,154000,3600,"food,chef,recipe,India,culinary",0.04,Low,Mumbai India,Tutorials,8500.0,True,Male,
185,Pankaj Bhadouria,Lifestyle,Food,YouTube,1800000.0,4.8,86400,2000,"food,recipe,Indian,cooking,masterchef",0.04,Low,Lucknow India,Tutorials,5500.0,True,Male,
186,Tarla Dalal,Lifestyle,Food,YouTube,1200000.0,4.2,50400,1200,"food,recipe,vegetarian,Indian,cooking",0.04,Low,Mumbai India,Tutorials,3800.0,True,Female,
187,Hebbar's Kitchen,Lifestyle,Food,YouTube,7200000.0,4.5,324000,7000,"food,recipe,vegetarian,South Indian,cooking",0.04,Low,Bangalore India,Tutorials,18000.0,True,Male,
188,CookingShooking,Lifestyle,Food,YouTube,3800000.0,4.8,182400,4000,"food,recipe,Hindi,Indian,cooking",0.05,Low,Delhi India,Tutorials,11000.0,True,Male,
189,Kunal Kapur,Lifestyle,Food,Instagram,980000.0,5.2,50960,1200,"food,chef,recipe,India,restaurant",0.04,Low,Delhi India,Photos & Reels,3800.0,True,Male,
190,Vikas Khanna,Lifestyle,Food,Instagram,1800000.0,4.5,81000,1900,"food,chef,Michelin,India,USA",0.04,Low,USA,Photos,6000.0,True,Male,
191,Bong Eats,Lifestyle,Food,YouTube,980000.0,6.2,60760,1400,"food,Bengali,recipe,cooking,India",0.03,Low,Kolkata India,Tutorials,3200.0,True,Male,
192,Vahchef,Lifestyle,Food,YouTube,2200000.0,4.8,105600,2400,"food,recipe,Hyderabadi,Indian,cooking",0.04,Low,Hyderabad India,Tutorials,6500.0,True,Male,
193,Fit Morph,Fitness,Bodybuilding,Instagram,580000.0,6.5,37700,1000,"bodybuilding,fitness,gym,India,transformation",0.04,Low,Mumbai India,Reels,2000.0,True,Male,
194,Tushar Bhatt,Fitness,Bodybuilding,YouTube,420000.0,7.2,30240,840,"bodybuilding,fitness,gym,India,natural",0.03,Low,Gujarat India,Tutorials,1500.0,True,Male,
195,Mukesh Gahlot,Fitness,Bodybuilding,YouTube,680000.0,6.8,46240,1300,"bodybuilding,gym,India,fitness,powerlifting",0.04,Low,Delhi India,Tutorials,2200.0,True,Male,
196,Abhinav Mahajan,Fitness,Bodybuilding,Instagram,920000.0,5.8,53360,1300,"fitness,bodybuilding,gym,India,transformation",0.04,Low,Punjab India,Reels,3000.0,True,Male,
197,Yasmin Karachiwala,Fitness,Home workouts,Instagram,1100000.0,5.5,60500,1400,"fitness,pilates,home,workout,India",0.04,Low,Mumbai India,Reels,3800.0,True,Male,
198,Namrata Purohit,Fitness,Home workouts,Instagram,680000.0,6.2,42160,1050,"fitness,pilates,home,workout,India",0.04,Low,Mumbai India,Reels,2400.0,True,Female,
199,Anshuka Parwani,Fitness,Yoga,Instagram,580000.0,6.8,39440,1050,"yoga,wellness,Bollywood,India,mindfulness",0.04,Low,Mumbai India,Reels,2000.0,True,Female,
200,Grand Master Akshar,Fitness,Yoga,Instagram,1800000.0,5.2,93600,2200,"yoga,India,spiritual,wellness,teacher",0.04,Low,Bangalore India,Reels,5500.0,True,Male,
201,Arjun Kumar,Tech,Smartphones,YouTube,23900.0,0.43,74,0,"tech,smartphones,review,unboxing,gadgets",0.05,Low,Delhi India,Reviews,250.0,True,Male,
202,Priya Shah,Fashion,Streetwear,Instagram,35000.0,9.2,3220,120,"streetwear,ootd,fashion,style,urban",0.04,Low,Mumbai India,Photos,150.0,True,Female,
203,Rahul Mehra,Sports,Cricket,YouTube,45000.0,7.8,3510,140,"cricket,India,sports,tips,beginner",0.05,Low,Delhi India,Tutorials,200.0,True,Male,
204,Sneha Rao,Lifestyle,Food,Instagram,28000.0,10.5,2940,180,"food,recipe,Indian,homemade,cooking",0.03,Low,Bangalore India,Photos,100.0,True,Female,
205,Kevin Smith,Tech,AI/ML,LinkedIn,12000.0,12.1,1452,110,"AI,ML,datascience,tech,future",0.02,Low,USA,Articles,80.0,True,Male,
206,Anita J,Fitness,Yoga,Instagram,15000.0,11.5,1725,130,"yoga,fitness,wellness,health,daily",0.03,Low,Mumbai India,Reels,75.0,True,Female,
207,Micro Chris,Lifestyle,Travel,YouTube,8000.0,15.2,1216,95,"travel,solo,budget,vlog,adventure",0.02,Low,UK,Vlogs,50.0,True,Male,
208,Maya Patil,Fashion,Ethnic wear,Instagram,22000.0,8.8,1936,85,"ethnic,saree,traditional,Indian,fashion",0.04,Low,Pune India,Photos,120.0,True,Female,
209,David Miller Jr,Sports,Football,Instagram,31000.0,9.5,2945,115,"football,soccer,skills,sport,training",0.04,Low,USA,Reels,180.0,True,Male,
210,Sophia Chen,Tech,Software development,YouTube,18000.0,13.4,2412,145,"programming,coding,tutorial,webdev,tech",0.02,Low,Canada,Tutorials,130.0,True,Female,
211,Rohan Varma,Fashion,Streetwear,Instagram,45000.0,7.2,3240,80,"streetwear,sneakers,mumbai,style,urban",0.05,Low,Mumbai India,Photos,350.0,True,Male,
212,Ayesha Khan,Fashion,Ethnic wear,Instagram,82000.0,5.8,4756,120,"ethnic,saree,traditional,style,pakistani",0.04,Low,Delhi India,Reels,600.0,True,Female,
213,Liam Wilson,Fashion,Luxury fashion,Instagram,1200000.0,3.2,38400,900,"luxury,london,fashion,suit,gentleman",0.06,Low,London UK,Photos,4500.0,True,Male,
214,Sasha Grey (Fashion),Fashion,Sustainable fashion,Instagram,250000.0,6.1,15250,400,"sustainable,eco,vintage,thrift,green",0.05,Low,USA,Reels,1200.0,True,Female,
215,Aditya Roy,Fashion,Streetwear,YouTube,150000.0,4.5,6750,200,"streetwear,unboxing,hypebeast,fashion,india",0.07,Low,Pune India,Vlogs,800.0,True,Female,
216,Elena Rossi,Fashion,Luxury fashion,Instagram,850000.0,4.1,34850,750,"luxury,milan,fashion,italy,style",0.05,Low,Milan Italy,Photos,3200.0,True,Female,
217,Priya Mehra,Fashion,Ethnic wear,Instagram,65000.0,8.2,5330,150,"ethnic,jewelry,traditional,bride,indian",0.03,Low,Jaipur India,Photos,450.0,True,Female,
218,Mark Thorne,Fashion,Streetwear,Instagram,30000.0,9.5,2850,110,"streetwear,skate,nyc,urban,style",0.04,Low,USA,Photos,250.0,True,Male,
219,Sonal Chauhan,Fashion,Sustainable fashion,Instagram,180000.0,5.4,9720,280,"sustainable,lifestyle,nature,vegan,fashion",0.05,Low,Bangalore India,Reels,950.0,True,Male,
220,Hiroshi Sato,Fashion,Streetwear,Instagram,500000.0,3.8,19000,450,"streetwear,tokyo,japan,minimal,urban",0.06,Low,Tokyo Japan,Photos,2100.0,True,Female,
221,Anaya Singh,Fashion,Ethnic wear,YouTube,566.0,3.53,1,0,"ethnic,saree,vlog,indian,styling",0.05,Low,Delhi India,Vlogs,1500.0,True,Female,
222,Chloe Bennett,Fashion,Luxury fashion,Instagram,2100000.0,2.8,58800,1200,"luxury,paris,fashion,travel,glam",0.07,Low,Paris France,Photos,7500.0,True,Male,
223,Arjun Kapoor (Stylist),Fashion,Streetwear,Instagram,95000.0,6.4,6080,180,"streetwear,styling,menswear,india,hype",0.04,Low,Mumbai India,Photos,750.0,True,Male,
224,Zara Ahmed,Fashion,Ethnic wear,Instagram,42000.0,7.8,3276,95,"ethnic,hijab,fashion,dubai,style",0.03,Low,Dubai UAE,Photos,380.0,True,Female,
225,Noah Miller,Fashion,Sustainable fashion,YouTube,120000.0,6.5,7800,210,"sustainable,thrift,diy,fashion,canada",0.04,Low,Canada,Tutorials,850.0,True,Male,
226,Ishita Das,Fashion,Ethnic wear,Instagram,150000.0,5.2,7800,190,"ethnic,bengali,kolkata,traditional,saree",0.05,Low,Kolkata India,Reels,900.0,True,Female,
227,Kai Chen,Fashion,Streetwear,Instagram,750000.0,4.2,31500,700,"streetwear,shanghai,china,hype,urban",0.06,Low,Shanghai China,Photos,2800.0,True,Female,
228,Meera Reddy,Fashion,Ethnic wear,Instagram,28000.0,11.2,3136,105,"ethnic,hyderabad,traditional,jewelry,south",0.02,Low,Hyderabad India,Photos,250.0,True,Female,
229,Lucas Garcia,Fashion,Luxury fashion,Instagram,450000.0,4.8,21600,520,"luxury,madrid,spain,fashion,lifestyle",0.05,Low,Madrid Spain,Photos,2200.0,True,Male,
230,Amelia Watson,Fashion,Sustainable fashion,Instagram,88000.0,7.1,6248,165,"sustainable,slowfashion,uk,eco,ethical",0.03,Low,UK,Photos,650.0,True,Female,
231,Vikram Rathore,Sports,Cricket,YouTube,550000.0,5.8,31900,750,"cricket,tips,coaching,india,batting",0.04,Low,Rajasthan India,Tutorials,2400.0,True,Male,
232,Sarah Jenkins,Sports,Football,Instagram,180000.0,6.2,11160,320,"football,soccer,uk,women,training",0.03,Low,UK,Reels,1100.0,True,Male,
233,Manish Pandey (Fitness),Sports,Fitness training,Instagram,92000.0,7.5,6900,210,"fitness,athlete,india,workout,sports",0.04,Low,Bangalore India,Reels,750.0,True,Male,
234,Alex Rivera,Sports,Outdoor adventure,YouTube,250000.0,5.1,12750,340,"adventure,hiking,mountains,usa,travel",0.05,Low,USA,Vlogs,1400.0,True,Male,
235,Deepak Hooda,Sports,Cricket,Instagram,1200000.0,4.1,49200,980,"cricket,ipl,india,sports,athlete",0.06,Low,Haryana India,Photos,4200.0,True,Male,
236,Marta Silva,Sports,Football,Instagram,3500000.0,3.5,122500,2100,"football,brazil,soccer,legend,sports",0.07,Low,Brazil,Photos,11000.0,True,Female,
237,Rahul Bose (Rugby),Sports,Outdoor adventure,Instagram,85000.0,4.8,4080,115,"rugby,adventure,sports,india,actor",0.05,Low,Mumbai India,Photos,650.0,True,Male,
238,Evelyn Reed,Sports,Fitness training,Instagram,42000.0,8.9,3738,105,"fitness,yoga,pilates,australia,health",0.02,Low,Australia,Photos,350.0,True,Male,
239,Sandeep Singh,Sports,Fitness training,YouTube,750000.0,4.5,33750,850,"fitness,hockey,india,training,motivation",0.05,Low,Punjab India,Education,2800.0,True,Male,
240,Chris Hemsworth (Fitness),Sports,Fitness training,Instagram,58000000.0,2.1,1218000,24000,"fitness,centr,action,actor,lifestyle",0.12,Medium,USA,Reels,180000.0,True,Male,
241,Yusuf Pathan,Sports,Cricket,Instagram,2800000.0,3.8,106400,2200,"cricket,india,ipl,legend,sports",0.06,Low,Baroda India,Photos,9500.0,True,Male,
242,Megan Rapinoe,Sports,Football,Instagram,2200000.0,4.2,92400,1900,"football,usa,soccer,activism,sports",0.05,Low,USA,Photos,8000.0,True,Male,
243,Abhinav Bindra,Sports,Outdoor adventure,Instagram,450000.0,5.1,22950,580,"shooting,olympics,gold,india,motivation",0.03,Low,Chandigarh India,Photos,2100.0,True,Male,
244,Tyson Fury,Sports,Fitness training,Instagram,6800000.0,3.4,231200,5100,"boxing,heavyweight,uk,fitness,sports",0.08,Low,UK,Photos,19000.0,True,Male,
245,Prithvi Sekhar,Sports,Outdoor adventure,Instagram,15000.0,12.5,1875,95,"tennis,deaflympics,india,sports,gold",0.02,Low,Chennai India,Photos,150.0,True,Female,
246,Zion Williamson,Sports,Fitness training,Instagram,5200000.0,4.1,213200,4400,"basketball,nba,usa,dunk,sports",0.06,Low,USA,Photos,17000.0,True,Male,
247,Ravi Shastri,Sports,Cricket,Instagram,1200000.0,3.2,38400,900,"cricket,commentary,india,coach,legend",0.07,Low,Mumbai India,Photos,3800.0,True,Female,
248,Sam Kerr,Sports,Football,Instagram,1500000.0,5.8,87000,2000,"football,australia,chelsea,soccer,sports",0.04,Low,UK,Photos,5500.0,True,Male,
249,Rajesh Chauhan,Sports,Cricket,YouTube,45000.0,6.5,2925,110,"cricket,analysis,hindi,india,ipl",0.04,Low,MP India,Vlogs,200.0,True,Male,
250,Katelyn Ohashi,Sports,Fitness training,Instagram,1100000.0,8.2,90200,2500,"gymnastics,dance,fitness,usa,sports",0.03,Low,USA,Reels,5200.0,True,Male,
251,Tech Specs,Tech,Smartphones,YouTube,827000.0,0.46,7704,14,"tech,smartphones,budget,review,specs",0.04,Low,India,Reviews,1400.0,True,Male,
252,AI Explainer,Tech,AI/ML,YouTube,120000.0,7.8,9360,280,"ai,ml,future,explanation,tech",0.03,Low,USA,Education,650.0,True,Female,
253,Gamer Girl India,Tech,Gaming,YouTube,4670000.0,2.58,18020,274,"gaming,mobile,india,streaming,girl",0.04,Low,Mumbai India,Gaming,450.0,True,Male,
254,Python Dev,Tech,Software development,YouTube,220000.0,5.5,12100,320,"programming,python,coding,tutorial,tech",0.04,Low,India,Tutorials,950.0,True,Male,
255,Gadget Guru,Tech,Smartphones,Instagram,450000.0,4.2,18900,480,"tech,gadgets,unboxing,india,mobile",0.05,Low,Delhi India,Reels,180.0,True,Male,
256,Data Wizard,Tech,AI/ML,LinkedIn,15000.0,10.5,1575,105,"datascience,ai,ml,career,tech",0.02,Low,Bangalore India,Articles,120.0,True,Female,
257,Indie Game Dev,Tech,Software development,YouTube,28000.0,11.2,3136,130,"gamedev,unity,coding,indie,tech",0.03,Low,USA,Tutorials,250.0,True,Male,
258,Mobile Tech Review,Tech,Smartphones,YouTube,1200000.0,3.8,45600,1100,"tech,smartphones,laptop,review,usa",0.06,Low,USA,Reviews,4200.0,True,Male,
259,AI Ethics,Tech,AI/ML,Twitter,52000.0,6.8,3536,140,"ai,ethics,tech,future,discussion",0.03,Low,UK,Tweets,350.0,True,Female,
260,Code Ninja,Tech,Software development,Instagram,12000.0,14.5,1740,95,"coding,setup,desk,tech,programmer",0.02,Low,India,Photos,100.0,True,Male,
261,Gadget Byte,Tech,Smartphones,YouTube,2050000.0,4.8,98400,2400,"tech,review,nepal,smartphones,gadgets",0.05,Low,Nepal,Reviews,7500.0,True,Male,
262,Computerphile,Tech,AI/ML,YouTube,2200000.0,5.1,112200,2600,"tech,science,ai,computer,education",0.03,Low,UK,Education,8500.0,True,Male,
263,Pro Gamer,Tech,Gaming,YouTube,4500000.0,4.5,202500,4800,"gaming,pc,esports,streaming,usa",0.06,Low,USA,Gaming,15000.0,True,Male,
264,The Coding Train,Tech,Software development,YouTube,1600000.0,7.2,115200,3100,"programming,creative,coding,javascript,education",0.03,Low,USA,Tutorials,6500.0,True,Male,
265,MKBHD (Clone),Tech,Smartphones,Twitter,520000.0,3.9,20280,650,"tech,review,smartphone,design,usa",0.05,Low,USA,Tweets,2100.0,True,Male,
266,Lex Fridman (Shorts),Tech,AI/ML,YouTube,850000.0,5.8,49300,1400,"ai,science,tech,shorts,clips",0.04,Low,USA,Clips,3200.0,True,Male,
267,Gaming With Garry,Tech,Gaming,YouTube,12000.0,18.2,2184,150,"gaming,indie,small,streamer,tech",0.02,Low,Australia,Gaming,80.0,True,Male,
268,Web Dev Simplified,Tech,Software development,YouTube,1400000.0,6.5,91000,2400,"webdev,coding,react,tutorial,tech",0.04,Low,USA,Tutorials,5500.0,True,Male,
269,Tech Insider,Tech,Smartphones,YouTube,6800000.0,3.1,210800,5400,"tech,innovation,future,gadgets,usa",0.07,Low,USA,Videos,22000.0,True,Male,
270,Andrew Karpathy (Fake),Tech,AI/ML,Twitter,150000.0,8.1,12150,450,"ai,tesla,ml,coding,tech",0.02,Low,USA,Tweets,1100.0,True,Male,
271,Travel With Tara,Lifestyle,Travel,Instagram,35000.0,8.5,2975,120,"travel,budget,india,vlog,girl",0.04,Low,Delhi India,Reels,250.0,True,Male,
272,Healthy Bites,Lifestyle,Food,Instagram,12000.0,12.2,1464,115,"food,healthy,vegan,recipe,mumbai",0.03,Low,Mumbai India,Photos,100.0,True,Female,
273,Daily Life Vlogs,Lifestyle,Daily vlogging,YouTube,45000.0,7.1,3195,145,"vlog,daily,family,india,routine",0.05,Low,UP India,Vlogs,200.0,True,Female,
274,Minimalist Home,Lifestyle,Minimalism,Instagram,18000.0,11.5,2070,110,"minimalism,home,decor,design,clean",0.02,Low,Bangalore India,Photos,130.0,True,Male,
275,Backpack Abroad,Lifestyle,Travel,YouTube,150000.0,5.8,8700,280,"travel,backpack,europe,budget,vlog",0.05,Low,Germany,Vlogs,950.0,True,Male,
276,Street Food King,Lifestyle,Food,Instagram,750000.0,4.2,31500,850,"food,streetfood,india,delhi,eat",0.06,Low,Delhi India,Reels,2800.0,True,Male,
277,Family Fun Vlogs,Lifestyle,Daily vlogging,YouTube,1200000.0,3.5,42000,1200,"vlog,family,kids,fun,usa",0.07,Low,USA,Vlogs,4500.0,True,Female,
278,Zen Living,Lifestyle,Minimalism,LinkedIn,8000.0,15.2,1216,105,"minimalism,wellness,career,mindful,tech",0.02,Low,UK,Articles,60.0,True,Male,
279,Luxury Escapes,Lifestyle,Travel,Instagram,2100000.0,2.5,52500,1400,"travel,luxury,hotel,resort,global",0.08,Low,Dubai UAE,Photos,8000.0,True,Female,
280,Chef's Secret,Lifestyle,Food,YouTube,950000.0,4.8,45600,1200,"food,recipe,chef,cooking,pro",0.05,Low,France,Tutorials,3800.0,True,Male,
281,Morning Routine,Lifestyle,Daily vlogging,Instagram,250000.0,6.4,16000,550,"vlog,routine,morning,lifestyle,aesthetic",0.05,Low,USA,Reels,1400.0,True,Male,
282,Zero Waste Life,Lifestyle,Minimalism,YouTube,45000.0,9.5,4275,210,"minimalism,zerowaste,eco,green,lifestyle",0.03,Low,Canada,Education,350.0,True,Male,
283,Euro Trip,Lifestyle,Travel,YouTube,52000.0,8.2,4264,180,"travel,europe,budget,tips,train",0.04,Low,Netherlands,Vlogs,450.0,True,Male,
284,Baking Bliss,Lifestyle,Food,Instagram,180000.0,7.1,12780,450,"food,baking,cake,dessert,recipe",0.04,Low,UK,Reels,1200.0,True,Male,
285,Urban Nomad,Lifestyle,Travel,Instagram,92000.0,7.8,7176,240,"travel,urban,city,guide,lifestyle",0.04,Low,Tokyo Japan,Photos,750.0,True,Male,
286,Quick Recipes,Lifestyle,Food,YouTube,3100000.0,4.2,130200,3500,"food,recipe,quick,easy,cooking",0.05,Low,USA,Tutorials,11000.0,True,Male,
287,Aesthetic Vlogs,Lifestyle,Daily vlogging,Instagram,580000.0,5.2,30160,1100,"vlog,aesthetic,lifestyle,daily,girl",0.06,Low,Korea,Reels,2800.0,True,Male,
288,Digital Nomad,Lifestyle,Minimalism,Twitter,12000.0,14.2,1704,95,"minimalism,remote,work,travel,lifestyle",0.02,Low,Bali Indonesia,Tweets,90.0,True,Male,
289,Honeymoon Diaries,Lifestyle,Travel,YouTube,85000.0,6.5,5525,210,"travel,couple,honeymoon,luxury,vlog",0.04,Low,Maldives,Vlogs,550.0,True,Male,
290,Kitchen Nightmares,Lifestyle,Food,YouTube,15000000.0,3.8,570000,14000,"food,gordonramsay,funny,cooking,chef",0.07,Low,UK,Shows,55000.0,True,Male,
291,Yoga For All,Fitness,Yoga,YouTube,45000.0,9.2,4140,165,"yoga,beginner,free,wellness,health",0.03,Low,India,Tutorials,350.0,True,Female,
292,Gym Freak,Fitness,Bodybuilding,Instagram,12000.0,15.5,1860,120,"bodybuilding,gym,muscle,motivation,mumbai",0.03,Low,Mumbai India,Reels,100.0,True,Male,
293,Home HIIT,Fitness,Home workouts,YouTube,220000.0,6.8,14960,450,"fitness,hiit,home,workout,cardio",0.04,Low,USA,Tutorials,950.0,True,Male,
294,Nutrition Facts,Fitness,Nutrition,LinkedIn,18000.0,11.2,2016,130,"nutrition,science,health,diet,tech",0.02,Low,UK,Articles,150.0,True,Male,
295,Pilates Pro,Fitness,Home workouts,Instagram,85000.0,8.5,7225,240,"fitness,pilates,home,workout,girl",0.03,Low,Australia,Reels,650.0,True,Male,
296,Vegan Gains,Fitness,Nutrition,YouTube,450000.0,4.1,18450,550,"nutrition,vegan,bodybuilding,debate,fitness",0.08,Medium,Canada,Education,1800.0,True,Male,
297,Flexibility King,Fitness,Yoga,Instagram,150000.0,6.2,9300,310,"yoga,stretch,flexibility,fitness,india",0.04,Low,Pune India,Photos,950.0,True,Female,
298,Crossfit Champ,Fitness,Bodybuilding,YouTube,1200000.0,3.9,46800,1200,"fitness,crossfit,games,athlete,usa",0.06,Low,USA,Vlogs,4500.0,True,Male,
299,Weight Loss Journey,Fitness,Nutrition,Instagram,52000.0,9.5,4940,220,"fitness,weightloss,transformation,health,diet",0.03,Low,India,Photos,450.0,True,Male,
300,Iron Man,Fitness,Bodybuilding,YouTube,750000.0,4.8,36000,950,"bodybuilding,gym,training,india,strong",0.05,Low,Delhi India,Tutorials,2800.0,True,Male,
301,Meditation Guide,Fitness,Yoga,Instagram,35000.0,10.2,3570,140,"yoga,meditation,peace,mindful,india",0.02,Low,Rishikesh India,Photos,280.0,True,Male,
302,Powerlifter,Fitness,Bodybuilding,Instagram,120000.0,7.5,9000,320,"bodybuilding,powerlift,squat,bench,deadlift",0.04,Low,USA,Reels,850.0,True,Male,
303,Healthy Heart,Fitness,Nutrition,YouTube,15000.0,12.8,1920,110,"nutrition,heart,health,diet,india",0.03,Low,India,Education,120.0,True,Female,
304,Ab Specialist,Fitness,Home workouts,Instagram,28000.0,11.8,3304,125,"fitness,abs,sixpack,home,workout",0.03,Low,UK,Reels,220.0,True,Male,
305,Yogi Nomad,Fitness,Yoga,YouTube,85000.0,7.1,6035,190,"yoga,travel,nature,wellness,vlog",0.04,Low,Bali Indonesia,Vlogs,550.0,True,Female,
306,Bulk Up,Fitness,Bodybuilding,Instagram,52000.0,8.5,4420,180,"bodybuilding,bulk,muscle,gym,india",0.04,Low,Mumbai India,Photos,400.0,True,Male,
307,Smoothie Queen,Fitness,Nutrition,Instagram,18000.0,13.2,2376,145,"nutrition,smoothie,fruit,health,breakfast",0.02,Low,USA,Photos,150.0,True,Male,
308,Yoga In Park,Fitness,Yoga,YouTube,12000.0,14.5,1740,115,"yoga,outdoor,park,nature,free",0.02,Low,Canada,Tutorials,90.0,True,Female,
309,Squat Master,Fitness,Bodybuilding,Instagram,45000.0,9.1,4095,185,"bodybuilding,legs,squat,gym,usa",0.03,Low,USA,Reels,350.0,True,Male,
310,HIIT Warrior,Fitness,Home workouts,YouTube,750000.0,5.2,39000,1100,"fitness,hiit,warrior,home,workout",0.05,Low,UK,Tutorials,2800.0,True,Male,
311,Cricket Guru,Sports,Cricket,Twitter,12000.0,15.8,1896,110,"cricket,stats,ipl,india,news",0.03,Low,India,Tweets,80.0,True,Male,
